datetime_local,station,latitude,longitude,pm25_ug_m3,pm10_ug_m3,relative_humidity_pct,air_temperature_c,wind_speed_m_s,wind_direction_deg,air_pressure_hpa,rainfall_mm
2018-01-01 00:00:00,Palmerston,-12.507753,130.948253,4.15,11.38,103.7,32.25,1.59,141.2,1004.24,0.0
2018-01-01 00:00:00,Stokes Hill,-12.459991,130.847847,4.46,15.05,74.49,29.75,1.56,224.01,0.97,
2018-01-01 00:00:00,Winnellie,-12.424017,130.893346,4.86,10.92,81.3,29.03,4.31,219.4,1002.64,724.0
2018-01-01 01:00:00,Palmerston,-12.507753,130.948253,1.38,7.41,,31.64,0.6,125.9,1003.95,0.0
2018-01-01 01:00:00,Stokes Hill,-12.459991,130.847847,62.49,98.07,77.43,29.32,1.23,218.79,0.98,
2018-01-01 01:00:00,Winnellie,-12.424017,130.893346,3.24,8.52,83.8,28.54,3.24,219.7,1002.42,724.0
2018-01-01 02:00:00,Palmerston,-12.507753,130.948253,0.19,9.04,,31.57,0.02,292.7,1003.38,0.0
2018-01-01 02:00:00,Stokes Hill,-12.459991,130.847847,4.7,15.26,79.12,28.9,1.23,240.83,0.97,
2018-01-01 02:00:00,Winnellie,-12.424017,130.893346,10.61,16.65,86.9,28.23,2.02,215.9,1001.73,724.0
2018-01-01 03:00:00,Palmerston,-12.507753,130.948253,0.79,10.72,,31.32,0.85,104.0,1003.1,0.0
2018-01-01 03:00:00,Stokes Hill,-12.459991,130.847847,2.42,11.52,78.62,29.1,0.74,215.14,0.97,
2018-01-01 03:00:00,Winnellie,-12.424017,130.893346,1.16,6.1,91.4,27.4,1.41,180.3,1001.44,724.0
2018-01-01 04:00:00,Palmerston,-12.507753,130.948253,1.69,10.93,,30.89,1.11,79.5,1002.95,0.0
2018-01-01 04:00:00,Stokes Hill,-12.459991,130.847847,3.02,12.81,79.46,29.34,1.12,193.43,0.97,
2018-01-01 04:00:00,Winnellie,-12.424017,130.893346,0.6,5.01,93.9,27.16,0.55,165.0,1001.27,724.0
2018-01-01 05:00:00,Palmerston,-12.507753,130.948253,3.8,13.57,,30.36,1.16,57.8,1003.17,0.0
2018-01-01 05:00:00,Stokes Hill,-12.459991,130.847847,2.86,11.51,78.98,29.23,1.43,184.53,0.97,
2018-01-01 05:00:00,Winnellie,-12.424017,130.893346,5.16,9.9,92.9,27.5,2.37,154.3,1001.42,724.0
2018-01-01 06:00:00,Palmerston,-12.507753,130.948253,5.53,15.98,,30.43,1.19,51.6,1003.72,0.0
2018-01-01 06:00:00,Stokes Hill,-12.459991,130.847847,0.54,6.24,74.0,29.39,1.64,169.23,0.97,
2018-01-01 06:00:00,Winnellie,-12.424017,130.893346,4.8,9.37,91.7,27.53,3.64,145.2,1002.03,724.0
2018-01-01 07:00:00,Palmerston,-12.507753,130.948253,5.57,15.94,,30.37,0.57,45.2,1004.33,0.0
2018-01-01 07:00:00,Stokes Hill,-12.459991,130.847847,5.12,14.24,76.81,29.09,1.06,81.31,0.98,
2018-01-01 07:00:00,Winnellie,-12.424017,130.893346,5.15,9.99,92.2,27.52,1.0,1.4,1002.85,724.0
2018-01-01 08:00:00,Palmerston,-12.507753,130.948253,4.88,13.06,,31.37,0.5,315.3,1004.86,0.0
2018-01-01 08:00:00,Stokes Hill,-12.459991,130.847847,4.43,14.07,76.49,29.44,0.58,347.11,0.98,
2018-01-01 08:00:00,Winnellie,-12.424017,130.893346,8.33,13.6,89.8,28.05,0.18,,1003.38,724.0
2018-01-01 09:00:00,Palmerston,-12.507753,130.948253,4.91,12.59,,33.31,0.31,293.5,1005.35,0.0
2018-01-01 09:00:00,Stokes Hill,-12.459991,130.847847,4.17,14.31,65.8,32.63,1.02,97.96,0.98,
2018-01-01 09:00:00,Winnellie,-12.424017,130.893346,4.09,8.26,75.0,30.47,1.0,298.9,1003.68,724.0
2018-01-01 10:00:00,Palmerston,-12.507753,130.948253,5.6,14.8,,34.17,1.33,193.7,1005.38,0.0
2018-01-01 10:00:00,Stokes Hill,-12.459991,130.847847,6.32,17.39,60.14,34.58,0.96,135.48,0.98,
2018-01-01 10:00:00,Winnellie,-12.424017,130.893346,2.24,7.21,68.7,31.23,4.93,341.0,1003.77,724.0
2018-01-01 11:00:00,Palmerston,-12.507753,130.948253,3.34,9.18,,34.66,2.35,203.1,1004.98,0.0
2018-01-01 11:00:00,Stokes Hill,-12.459991,130.847847,3.14,7.52,55.39,35.37,1.05,314.28,0.98,
2018-01-01 11:00:00,Winnellie,-12.424017,130.893346,3.32,8.7,66.8,31.98,4.24,312.7,1003.58,724.0
2018-01-01 12:00:00,Palmerston,-12.507753,130.948253,3.31,10.82,,35.07,3.13,202.2,1004.37,0.0
2018-01-01 12:00:00,Stokes Hill,-12.459991,130.847847,1.71,9.75,52.77,36.15,1.79,289.57,0.98,
2018-01-01 12:00:00,Winnellie,-12.424017,130.893346,1.81,6.87,63.1,32.68,5.83,321.5,1002.94,724.0
2018-01-01 13:00:00,Palmerston,-12.507753,130.948253,4.58,14.3,,35.17,4.7,204.6,1003.48,0.0
2018-01-01 13:00:00,Stokes Hill,-12.459991,130.847847,1.0,7.59,52.4,36.1,1.96,297.63,0.98,
2018-01-01 13:00:00,Winnellie,-12.424017,130.893346,1.02,5.22,59.3,33.14,7.9,314.1,1002.19,724.0
2018-01-01 14:00:00,Palmerston,-12.507753,130.948253,0.99,3.46,,35.58,4.62,223.6,1002.9,0.0
2018-01-01 14:00:00,Stokes Hill,-12.459991,130.847847,1.47,10.59,55.67,35.14,2.5,303.48,0.97,
2018-01-01 14:00:00,Winnellie,-12.424017,130.893346,-0.73,3.3,53.0,33.62,10.68,303.0,1001.7,724.0
2018-01-01 15:00:00,Palmerston,-12.507753,130.948253,-1.05,1.31,,36.24,4.63,224.9,1002.03,0.0
2018-01-01 15:00:00,Stokes Hill,-12.459991,130.847847,-0.34,4.66,53.66,35.44,2.62,301.42,0.97,
2018-01-01 15:00:00,Winnellie,-12.424017,130.893346,0.12,4.88,56.1,33.59,10.13,295.7,1000.69,724.0
2018-01-01 16:00:00,Palmerston,-12.507753,130.948253,1.39,6.76,,36.03,4.14,239.9,1001.41,0.0
2018-01-01 16:00:00,Stokes Hill,-12.459991,130.847847,-0.62,2.91,55.27,34.03,2.27,296.43,0.97,
2018-01-01 16:00:00,Winnellie,-12.424017,130.893346,0.98,5.39,58.1,32.8,9.93,291.3,999.91,724.0
2018-01-01 17:00:00,Palmerston,-12.507753,130.948253,0.9,5.1,,31.58,3.14,107.1,1002.59,0.0
2018-01-01 17:00:00,Stokes Hill,-12.459991,130.847847,1.75,10.13,62.32,30.96,4.02,224.32,0.97,
2018-01-01 17:00:00,Winnellie,-12.424017,130.893346,2.14,6.56,66.2,29.92,4.44,196.3,1000.72,724.0
2018-01-01 18:00:00,Palmerston,-12.507753,130.948253,-1.24,7.88,,28.72,2.89,149.7,1002.57,0.0
2018-01-01 18:00:00,Stokes Hill,-12.459991,130.847847,1.81,27.6,81.22,25.29,4.32,226.89,0.97,
2018-01-01 18:00:00,Winnellie,-12.424017,130.893346,-2.89,3.09,73.8,26.48,11.61,204.6,1000.93,724.0
2018-01-01 19:00:00,Palmerston,-12.507753,130.948253,0.85,7.4,,30.17,1.42,154.3,1003.29,0.0
2018-01-01 19:00:00,Stokes Hill,-12.459991,130.847847,3.46,11.93,77.62,26.46,2.3,241.24,0.97,
2018-01-01 19:00:00,Winnellie,-12.424017,130.893346,0.63,5.56,73.5,27.03,5.34,229.6,1001.57,724.0
2018-01-01 20:00:00,Palmerston,-12.507753,130.948253,0.39,7.15,,29.76,0.92,105.9,1003.33,0.0
2018-01-01 20:00:00,Stokes Hill,-12.459991,130.847847,0.18,5.85,74.85,27.2,1.56,187.64,0.97,
2018-01-01 20:00:00,Winnellie,-12.424017,130.893346,0.2,4.71,76.1,27.16,1.31,214.3,1001.58,724.0
2018-01-01 21:00:00,Palmerston,-12.507753,130.948253,0.92,6.75,,29.55,1.19,341.1,1003.61,0.0
2018-01-01 21:00:00,Stokes Hill,-12.459991,130.847847,2.05,10.5,76.35,27.24,1.65,22.37,0.97,
2018-01-01 21:00:00,Winnellie,-12.424017,130.893346,0.92,4.87,77.4,26.91,2.63,27.7,1001.98,724.0
2018-01-01 22:00:00,Palmerston,-12.507753,130.948253,-0.58,4.04,,29.53,1.87,337.7,1003.43,0.0
2018-01-01 22:00:00,Stokes Hill,-12.459991,130.847847,0.89,7.96,76.1,27.39,3.16,41.74,0.97,
2018-01-01 22:00:00,Winnellie,-12.424017,130.893346,-0.1,4.17,79.4,26.54,4.53,70.8,1001.8,724.0
2018-01-01 23:00:00,Palmerston,-12.507753,130.948253,2.57,8.33,,29.63,0.43,7.1,1004.0,0.0
2018-01-01 23:00:00,Stokes Hill,-12.459991,130.847847,2.32,7.35,76.45,26.92,1.11,14.86,0.97,
2018-01-01 23:00:00,Winnellie,-12.424017,130.893346,2.61,7.19,84.0,26.12,1.93,66.0,1002.32,724.0
2018-01-02 00:00:00,Palmerston,-12.507753,130.948253,2.42,10.66,,29.41,1.5,109.6,1004.6,0.0
2018-01-02 00:00:00,Stokes Hill,-12.459991,130.847847,2.92,13.54,76.82,27.46,1.19,193.88,0.98,
2018-01-02 00:00:00,Winnellie,-12.424017,130.893346,2.09,6.54,83.3,26.36,0.63,180.0,1020.32,724.0
2018-01-02 01:00:00,Palmerston,-12.507753,130.948253,-1.07,4.08,,28.53,0.98,68.2,1004.01,0.0
