feature,correlation
pm25_mean,0.7710552032929122
pm25_3day_mean,0.751201374127807
pm25_lag1,0.6979824513443522
pm10_mean,0.6486144202224845
fire_count_100_200km,0.5718641850675722
humidity_mean,-0.5433313428196954
fire_count_50_100km,0.5184833342426663
frp_sum_0_500km,0.50750669174597
fire_count_200_500km,0.5053294729277606
fire_count_25_50km,0.5042899371681315
month_cos,-0.4979001959952973
pm25_max,0.4902291754537248
temperature_mean,-0.46201219345480216
pm10_max,0.4237151783182335
nearest_fire_km,-0.4130674570930638
fire_count_0_25km,0.4110667035605856
wind_dir_sin_mean,0.3258554146993533
month_sin,-0.31085828208211574
pressure_mean,0.2662616627599458
wind_dir_cos_mean,-0.22094366355940379
wind_speed_mean,0.024206171670438984
