year,station,pm25_ug_m3,pm10_ug_m3,relative_humidity_pct,air_temperature_c,wind_speed_m_s,wind_direction_deg,air_pressure_hpa,rainfall_mm
2018,Palmerston,2.23,2.41,33.96,18.4,8.06,8.06,2.45,2.0
2018,Stokes Hill,9.54,9.54,8.24,8.24,10.86,10.86,8.24,100.0
2018,Winnellie,6.37,6.37,4.51,4.51,4.51,5.41,4.51,4.51
2019,Palmerston,1.04,1.03,0.94,0.94,0.88,0.21,0.16,0.13
2019,Stokes Hill,0.53,0.53,0.45,0.45,0.08,0.08,0.45,100.0
2019,Winnellie,3.48,3.48,3.26,3.26,3.26,3.96,3.26,3.26
2020,Palmerston,3.83,3.78,1.57,1.33,1.17,0.81,0.4,0.4
2020,Stokes Hill,1.98,2.13,0.83,0.83,0.81,0.81,0.83,100.0
2020,Winnellie,2.04,2.3,1.05,1.05,1.05,1.64,1.05,1.05
2021,Palmerston,12.55,12.57,11.29,11.29,7.08,7.07,3.86,3.65
2021,Stokes Hill,15.43,18.06,14.39,14.39,16.8,16.8,14.39,100.0
2021,Winnellie,25.31,25.31,15.13,15.13,15.13,15.92,15.11,15.11
2022,Palmerston,14.03,14.03,13.03,8.49,13.03,13.04,5.79,21.87
2022,Stokes Hill,4.67,4.62,4.35,4.35,7.65,7.65,4.35,100.0
2022,Winnellie,5.86,6.87,48.96,48.96,48.96,51.42,48.96,48.96
2023,Palmerston,2.92,3.11,0.54,0.54,1.29,1.34,0.68,0.55
2023,Stokes Hill,4.49,10.14,3.08,3.08,0.18,0.18,3.08,100.0
2023,Winnellie,18.6,18.71,6.4,6.4,6.4,10.42,6.4,6.43
2024,Palmerston,14.41,14.29,3.8,3.8,4.5,4.55,3.8,3.73
2024,Stokes Hill,3.62,3.55,4.04,3.53,3.31,3.31,3.53,100.0
2024,Winnellie,14.85,14.62,28.75,28.75,28.75,32.09,28.75,28.75
