feature,importance_mean,importance_std
month_cos,0.2360501722186049,0.02669605111388477
pm25_mean,0.1337237694419801,0.023567253894786807
pm25_max,0.12817281258620397,0.007423826617917681
frp_sum_0_500km,0.07224313479257745,0.009640378960823894
nearest_fire_km,0.03858895834808831,0.018198956229201913
humidity_mean,0.024017352866180543,0.010260822039442443
month_sin,0.01755845149169568,0.01475620357053402
station,0.00880709863473823,0.007123181670275866
pm10_mean,0.006312651699358929,0.006566965582979998
wind_speed_mean,0.004959976736749416,0.0019749431950768837
fire_count_50_100km,0.004385294633345138,0.0039051910514715277
pm25_3day_mean,0.004110421563556699,0.004429010554232181
fire_count_100_200km,0.0027831085646946364,0.001398051469206235
pm25_lag1,0.002048410259911937,0.00353287166798551
fire_count_200_500km,0.0016528555458899196,0.0011636291579115222
pressure_mean,0.0013071061181878063,0.005412077683339191
wind_dir_cos_mean,0.0009815252033654742,0.002581639887645582
fire_count_0_25km,0.00011860992304348894,0.0011456914705228075
fire_count_25_50km,-5.3812209359160866e-05,0.000976485138509639
pm10_max,-0.005658313476087895,0.001032891976532824
temperature_mean,-0.011312074386104754,0.006013341414429885
wind_dir_sin_mean,-0.025134688110635618,0.014448737677182424
